ID_Casa,dire,lat,lon
60,J. R. Aldao 400,-31.4863464,-60.7334015
92,Cafferatta 441,-31.4864773,-60.7347098
91,J. R. Aldao 458,-31.4869476,-60.7335979
61,J. R. Aldao 450,-31.4868647,-60.7335708
101,Mateo Booz 1344,-31.4869412,-60.7354602
98,Belgrano 465,-31.4864392,-60.7359879
97,Menchaca 1355,-31.4858994,-60.7352504
96,Menchaca 1335,-31.4859584,-60.7350124
99,Menchaca 1313,-31.4860233,-60.7347506
122,Pje.  San Jose 1471,-31.48609,-60.7368309
120,Pje.  San Jose 1448,-31.4861227,-60.736551
121,Pje.  San Jose 1453,-31.486142,-60.7366101
117,Pje.  San Jose 1421,-31.4862345,-60.7362175
895,Alfonsina Storni 1466,-31.4919617,-60.7387114
889,Alfonsina Storni 1412,-31.4921218,-60.7380559
890,Alfonsina Storni 1456,-31.4919913,-60.73859
896,Alfonsina Storni 1511,-31.4918626,-60.7392547
904,Pje. 4 de Diciembre 1413,-31.4916257,-60.7378929
903,Alfonsina Storni 1480,-31.4919201,-60.7388813
905,Pje. 4 de Diciembre 1483,-31.4914172,-60.7387328
936,Alfonsina Storni 1066,-31.493138,-60.7338668
970,Sta Fe 1055,-31.4909495,-60.7330028
928,Alfonsina Storni 1058,-31.4931605,-60.7337721
934,Alfonsina Storni 1038,-31.4932169,-60.7335352
967,Simon de Iriondo 855,-31.4913789,-60.7337063
969,Av. Ignacio Crespo 870,-31.491828,-60.7326054
971,Av. Ignacio Crespo 870,-31.491828,-60.7326054
940,Simon de Iriondo 955,-31.4925893,-60.7340936
931,Simon de Iriondo 967,-31.492716,-60.7341338
925,Mitre 1162,-31.4916413,-60.7346351
944,Mitre 1075,-31.4920902,-60.7336326
918,Simon de Iriondo 968,-31.4927288,-60.7341768
916,Simon de Iriondo 944,-31.4924753,-60.7340962
910,Simon de Iriondo 920,-31.4922218,-60.7340157
21,Lehmann 1064,-31.4898484,-60.7327658
28,Calle presbitero Martinez 1047,-31.4888933,-60.7322181
32,Av. Ignacio Crespo 674,-31.4897841,-60.7319325
20,Calle presbitero Martinez 1091,-31.4887715,-60.73274
41,Calle presbitero Martinez 1069,-31.4888324,-60.732479
26,Lehmann 1064,-31.4898484,-60.7327658
949,Av. Ignacio Crespo 982,-31.4931563,-60.7330364
1008,Mateo Booz 1008,-31.4879129,-60.7314318
1116, ,-31.4908772,-60.7356773
113,Mateo Booz 1438,-31.4866685,-60.7365991
105,Mateo Booz 1472,-31.4865701,-60.7370166
108,Mateo Booz 1420,-31.4867206,-60.7363781
123, ,-31.4908772,-60.7356773
618, ,-31.4908772,-60.7356773
129,Belgrano 412,-31.4858843,-60.7358441
727, ,-31.4908772,-60.7356773
125,Belgrano 404,-31.4857997,-60.7358162
915,Simon de Iriondo 996,-31.4930245,-60.7342708
914,Mitre 1101,-31.4920167,-60.7339444
892,Pje. 4 de Diciembre 1493,-31.4913874,-60.7388528
898,Pje. 4 de Diciembre 1433,-31.4915662,-60.7381329
134,Menchaca 1555,-31.485298,-60.7376775
133,Martin guemes 400,,
139,Martin guemes 490,,
137,Estanislao Lopez,-31.4905516,-60.7399977
138, ,-31.4908772,-60.7356773
877,Simon de Iriondo 711,-31.4898827,-60.7332056
878,Simon de Iriondo 763,-31.4904225,-60.7333854
958,Av. Ignacio Crespo 832,-31.4914336,-60.7324758
955,Av. Ignacio Crespo 870,-31.491828,-60.7326054
965,Mitre 1062,-31.4919332,-60.7334342
964,Mitre 1044,-31.4919849,-60.7332185
997,Av. Ignacio Crespo 724,-31.4903061,-60.732105
1000,Sta Fe 1092,-31.4908073,-60.7334431
75,Menchaca 1147,-31.486517,-60.7327334
78,Menchaca 1157,-31.4864866,-60.7328564
84,Menchaca 1193,-31.486377,-60.7332991
82,J. R. Aldao 437,-31.4867281,-60.7334872
11,Mateo Booz 1094,-31.4876798,-60.7324252
10,Mateo Booz 1062,-31.4877722,-60.7320561
74,Simon de Iriondo 406,-31.4867131,-60.7321915
51,Simon de Iriondo 416,-31.4868168,-60.7322248
3,Calle presbitero Martinez 595,-31.4904586,-60.7261327
4,Calle presbitero Martinez 1042,-31.4888735,-60.7321607
16,Simon de Iriondo 525,-31.4879477,-60.7325586
943,Mitre 1081,-31.4920733,-60.7337045
937,Mitre 1063,-31.4921241,-60.7334889
202,Estanislao Lopez 114,-31.4905516,-60.7399977
212,Alfonsina Storni 1527,-31.4918161,-60.7394474
1085,Estanislao Lopez 1055,-31.4921692,-60.7404999
195,Sta Fe 1654,-31.4891391,-60.7402522
203,Sta Fe 1682,-31.4890546,-60.7405896
201,Alfonsina Storni 162,-31.4924736,-60.7366824
204,Mitre 1690,-31.4901029,-60.7410335
200,Pje.  San Luis 1675,-31.4885993,-60.7403394
215,Alfonsina Storni 1571,-31.4916883,-60.7399773
213,Estanislao Lopez 1089,-31.4925254,-60.7406213
216,Alfonsina Storni 1531,-31.4918045,-60.7394956
514,Sta Fe 1390,-31.4899301,-60.7370531
515,Sta Fe 1370,-31.4899894,-60.736809
513,Sta Fe 1370,-31.4899894,-60.736809
257,Belgrano 1029,-31.4924808,-60.7379812
250,Belgrano 1049,-31.4926883,-60.7380474
256,Belgrano 1060,-31.4928044,-60.7381233
251,Belgrano 1065,-31.4928543,-60.7381003
270,J. D. y Clucellas 1240,-31.4936743,-60.7363171
260,Cafferatta 1045,-31.4929506,-60.7368216
269,J. D. y Clucellas 1270,-31.49359,-60.736678
276,J. D. y Clucellas 1256,-31.4936293,-60.7365096
268,Cafferatta 1055,-31.4930557,-60.7368565
288,Alfonsina Storni 1131,-31.4929828,-60.7346475
287,Alfonsina Storni 1135,-31.4929708,-60.7346965
286,Alfonsina Storni 1115,-31.4930308,-60.7344516
316,Av. Ignacio Crespo 1032,-31.4936823,-60.7332001
317,Av. Ignacio Crespo 1002,-31.4933695,-60.7331059
148,Jose Hernandez 1661,-31.4839806,-60.7384833
149,Jose Hernandez 1687,-31.4839112,-60.7387468
143,Jose Hernandez 1687,-31.4839112,-60.7387468
142,Buenos Aires 345,-31.4890187,-60.7407997
527, ,-31.4908772,-60.7356773
526,Cafferatta 756,-31.4897582,-60.7358177
518,Lehmann 1241,-31.4893538,-60.7348946
517,Lehmann 1241,-31.4893538,-60.7348946
521,J. R. Aldao 700,-31.489467,-60.7344146
519,J. R. Aldao 740,-31.4898852,-60.7345512
166,Estanislao Lopez 612,-31.4873815,-60.7389756
168,Lehmann 1566,-31.4883499,-60.7388431
167,Lehmann 1526,-31.4884648,-60.7383527
304,Alfonsina Storni 1019,-31.4932893,-60.7333705
307,Alfonsina Storni 1031,-31.493256,-60.7335107
308,Alfonsina Storni 1043,-31.4932247,-60.7336422
301,J. R. Aldao 1089,-31.4936944,-60.7357727
845,J. D. y Clucellas 1178,-31.4938512,-60.7355667
844,J. D. y Clucellas 1156,-31.4939158,-60.7352973
298,J. D. y Clucellas 1124,-31.4940098,-60.7349055
182,Lehmann 1635,-31.4881919,-60.7396179
187,Lehmann 1619,-31.4882348,-60.7394534
188,Lehmann 1667,-31.488106,-60.7399468
353,Lehmann ,-31.4907915,-60.7294971
550,Calle presbitero Martinez 1275,-31.4882268,-60.7349758
551,Calle presbitero Martinez 1285,-31.4881975,-60.7350969
549,Calle presbitero Martinez 267,,
184,Buenos Aires 715,-31.4880523,-60.7404663
179,Buenos Aires 723,-31.4881585,-60.7405013
178,Buenos Aires 741,-31.4883974,-60.7405801
180,Buenos Aires 705,-31.4880021,-60.7403611
186,Buenos Aires 731,-31.4882647,-60.7405364
2977,Lehmann 1356,-31.4889746,-60.736288
2980,Lehmann ,-31.4907915,-60.7294971
2982,Lehmann 1388,-31.488878,-60.7366751
2983,Lehmann 1366,-31.4889444,-60.736409
2923,Lehmann 1366,-31.4889444,-60.736409
239,J. D. y Clucellas 1458,-31.4930226,-60.7389488
238,J. D. y Clucellas 1466,-31.4929989,-60.7390463
504,Lehmann 1329,-31.48909,-60.7359597
502,Cafferatta 750,-31.489695,-60.7357971
231,J. D. y Clucellas 1428,-31.4931117,-60.7385829
170,Mateo Booz 1096,-31.487674,-60.7324483
226,Belgrano 1096,-31.4931779,-60.7382425
171,Calle presbitero Martinez 1641,-31.487272,-60.7389062
160,Lehmann 1648,-31.4881237,-60.7397508
1048,J. D. y Clucellas 1048,-31.4942466,-60.7339177
543,J. R. Aldao 692,-31.4893845,-60.7343881
544,J. R. Aldao 666,-31.4891169,-60.7343021
538,Lehmann 1272,-31.4892274,-60.7352715
541,Lehmann 1272,-31.4892274,-60.7352715
145,Estanislao Lopez 318,-31.4843128,-60.7379608
273,J. R. Aldao 1068,-31.4934767,-60.7357395
588,Belgrano 634,-31.4881928,-60.7366144
580,Belgrano 624,-31.4880908,-60.7365809
579,Belgrano 609,-31.4879362,-60.7364913
590,Belgrano 674,-31.4886008,-60.736748
585,Calle presbitero Martinez 1445,-31.4877198,-60.7370306
576,Calle presbitero Martinez,-31.4897116,-60.7292396
243,J. D. y Clucellas 1358,-31.4933253,-60.7377358
553,Calle presbitero Martinez 1339,-31.4880373,-60.7357489
558,Calle presbitero Martinez 1337,-31.4880432,-60.7357248
253,Alfonsina Storni 1381,-31.4922477,-60.7376765
762,Cafferatta ,-31.4912654,-60.7362858
876,Martin guemes 909,,
875,Pje. 4 de Diciembre 1492,-31.4913567,-60.7388423
882,Mitre 1423,-31.4910789,-60.7378298
880,Mitre 1413,-31.4911065,-60.7377168
874,Mitre 1473,-31.490941,-60.7383952
853,Estanislao Lopez 925,-31.490815,-60.7400605
855,Estanislao Lopez 955,-31.4911261,-60.7401576
854,Estanislao Lopez 965,-31.4912298,-60.74019
851,Estanislao Lopez 975,-31.4913335,-60.7402224
852,Estanislao Lopez 985,-31.4914372,-60.7402548
850,Estanislao Lopez 955,-31.4911261,-60.7401576
886,Pje. 4 de Diciembre 1452,-31.4914758,-60.7383623
887,Pje. 4 de Diciembre 1472,-31.4914163,-60.7386023
883,Pje. 4 de Diciembre 1432,-31.4915354,-60.7381224
885,Pje. 4 de Diciembre 1422,-31.4915652,-60.7380024
884,Pje. 4 de Diciembre 1412,-31.491595,-60.7378824
821,Sta Fe 1560,-31.4894243,-60.7391128
822,Lehmann 1545,-31.488444,-60.7385833
320,Sta Fe 1556,-31.4894365,-60.739064
326, ,-31.4908772,-60.7356773
814,Lehmann 1535,,
828, ,-31.4908772,-60.7356773
827, ,-31.4908772,-60.7356773
831,Martin guemes 702,,
817, ,-31.4908772,-60.7356773
823,Martin Guemes 784,,
824, ,-31.4908772,-60.7356773
647, ,-31.4908772,-60.7356773
726,J. R. Aldao 516,-31.4875519,-60.7337953
648,J. R. Aldao 861,-31.4911458,-60.7349305
634,Sta Fe 1129,-31.4907317,-60.7338855
638,Simon de Iriondo 860,,
637,Sta Fe 1101,-31.4908145,-60.7335486
616,Sta Fe 1435,-31.4898667,-60.737451
640, ,-31.4908772,-60.7356773
849,Mitre 1585,-31.4906095,-60.7398175
630,Mitre 1164,-31.4916354,-60.7346591
848,Mitre 1517,-31.4908018,-60.7389787
603,Martin guemes 717,,
546,Mitre 1174,-31.4916058,-60.7347794
631,Mitre 1184,-31.4915763,-60.7348997
598,Sta Fe 1492,-31.4896312,-60.7382832
847,Martin guemes 942,,
594,Sta Fe 1464,-31.4897131,-60.7379459
592,Lehmann 1923,-31.4880201,-60.7402757
619,Martin guemes 802,,
742, ,-31.4908772,-60.7356773
614,Sta Fe 1473,-31.4897945,-60.737748
622,Sta Fe 1415,-31.4899047,-60.7372947
743,Calle presbitero Martinez 1258,-31.488243,-60.7347718
611,Belgrano 8086,-31.5827251,-60.6854441
595,Lehmann 1471,-31.4886608,-60.7376801
567,Sta Fe,-31.4921042,-60.7294718
717,J. R. Aldao 567,-31.4880877,-60.733931
720,Calle presbitero Martinez 1166,-31.4885149,-60.7336545
677,J. R. Aldao 677,-31.4892283,-60.734299
708,J. R. Aldao 543,-31.4878346,-60.7338485
776,Calle presbitero Martinez 1476,-31.4875926,-60.7374084
724,Simon de Iriondo 566,-31.4883801,-60.7327432
738,J. R. Aldao 570,-31.4881213,-60.733981
740,J. R. Aldao 582,-31.4882478,-60.7340222
739,J. R. Aldao 594,-31.4883744,-60.7340635
,J. R. Aldao 538,-31.4877839,-60.7338709
676,J. R. Aldao 305,-31.4853437,-60.7330472
770,Martin guemes 535,,
778,Belgrano 544,-31.4872618,-60.7363026
746,Mateo Booz 1395,-31.4868267,-60.7360704
748,Calle presbitero Martinez 1390,-31.4878515,-60.7363655
757,Belgrano ,-31.490979,-60.7375246
696,Calle presbitero Martinez 1163,-31.4885577,-60.7336161
706,Mateo Booz 1115,-31.4876505,-60.732678
779,Mateo Booz 1485,-31.4865662,-60.7371739
702,Simon de Iriondo 516,-31.4878549,-60.7325664
707,Mateo Booz 1191,-31.4874196,-60.7336132
705,Mateo Booz 1165,-31.4874986,-60.7332932
753,Mateo Booz 1345,-31.486972,-60.7354705
703,Simon de Iriondo 594,-31.4886743,-60.7328422
783,Mateo Booz 1437,-31.4867052,-60.7365846
752,Mateo Booz 1365,-31.4869139,-60.7357105
812,lehmann 1576,-31.4883211,-60.7389657
803,lehmann 1556,-31.4883786,-60.7387205
781,Mateo Booz 1487,-31.4865605,-60.7371985
804,Martin guemes 678,,
805,Martin guemes 650,,
802,Martin guemes 638,,
571,Belgrano y Sta Fe,-31.4899188,-60.7371681
574,Belgrano 790,-31.4898191,-60.7371542
764,Calle presbitero Martinez 596,-31.4904218,-60.7261472
658,J. R. Aldao 775,-31.4902492,-60.7346311
667,Simon de Iriondo 747,-31.4902564,-60.7333301
668,Lehmann 1145,-31.489643,-60.7337343
671,Sta Fe,-31.4921042,-60.7294718
655, ,-31.4908772,-60.7356773
670,Sta Fe 1146,-31.4906477,-60.7340917
763,Cafferatta 586,,
872,Alfonsina Storni 1555,-31.4917348,-60.7397846
868,Alfonsina Storni 1560,-31.4916865,-60.7398467
799,Calle presbitero Martinez 1575,-31.4873404,-60.7386133
796,Estanislao Lopez 607,-31.4873293,-60.7389192
682,Simon de Iriondo 688,-31.4896462,-60.7331658
869,Alfonsina Storni 1552,-31.4917098,-60.7397503
843,Mitre 1576,-31.4904369,-60.7396562
841,Mitre 1548,-31.4905213,-60.7393153
861,Martin guemes 900,,
842,Mitre 1506,-31.490648,-60.738804
838,Martin guemes 820,,
654,Sta Fe 1535,-31.4895345,-60.7388057
835,Sta Fe 1537,-31.4895284,-60.7388301
692,lehmann 1180,-31.4895031,-60.7341584
786,Mateo Booz 1585,-31.4862811,-60.7383848
694,lehmann 1190,-31.4894727,-60.7342791
601,Sta Fe 1414,-31.4898595,-60.7373436
784,Calle presbitero Martinez 1526,-31.4874462,-60.7380174
607,Sta Fe 1442,-31.4897775,-60.7376809
693,Lehmann 1156,-31.4895759,-60.7338686
608,Sta Fe 1414,-31.4898595,-60.7373436
793,Mateo Booz 1585,-31.4862811,-60.7383848
218,J. D. y Clucellas 1540,-31.492786,-60.7399512
234,Martin guemes 1060,,
219,J. D. y Clucellas 1568,-31.4927076,-60.7402941
220,J. D. y Clucellas 1526,-31.4928252,-60.7397798
277,Alfonsina Storni 1229,-31.4926926,-60.7358389
510,Belgrano 747,-31.4893621,-60.7369621
233,Martin guemes 1083,,
278,Alfonsina Storni 1293,-31.4925091,-60.7366038
265,Alfonsina Storni 1281,-31.4925435,-60.7364604
511,Belgrano 725,-31.4891292,-60.7368841
512,Lehmann 1389,,
198,Mitre 1700,-31.4900796,-60.7411299
209,Mitre 1700,-31.4900796,-60.7411299
191,Mitre 2315,-31.4905699,-60.7399902
190,Mitre 2345,-31.4905699,-60.7399902
208,Mitre 1900,-31.4900796,-60.7411299
210,Mitre,-31.4906845,-60.738724
173,Estanislao Lopez 730,,
177,Estanislao Lopez 722,,
294,Pje. de Martino 1179,-31.4933575,-60.7354053
295,Pje. de Martino 1055,-31.4935781,-60.7344578
292,Pje. de Martino 1155,-31.4934254,-60.7351138
296,Pje. de Martino 1115,-31.4935385,-60.7346279
297,J. D. y Clucellas 1124,-31.4940098,-60.7349055
293,J. D. y Clucellas 1174,-31.4938629,-60.7355177
729,Pje.  San Jose 1462,-31.4860823,-60.7367227
730,Pje.  San Jose 1422,-31.4861978,-60.736232
731,Pje.  San Jose 1480,-31.4860303,-60.7369435
131,Pje.  San Jose 1454,-31.4861054,-60.7366246
175,Estanislao Lopez 714,-31.4884245,-60.7393224
176,Estanislao Lopez 704,-31.488319,-60.7392879
646,Pje.  San Jose 1472,-31.4860534,-60.7368454
132,Pje.  san jose 1446,-31.4861285,-60.7365265
787,Calle presbitero Martinez 1548,-31.4873836,-60.738286
